Category,ConvertedObjects,NotConvertedObjects,PartiallyConvertedObjects,Total,ProcessedLoC,NotProcessedLOC,ErrorParsingLOC,TotalParsingErrors,TotalConversionErrors,ErrorConversionLOC,TotalLoc
Tables,2047,0,0,2047,61938,0,0,0,0,0,0
Cast Target Type,28,0,0,28,28,0,0,0,0,0,0
Teradata Select,36,0,0,36,78,0,0,0,0,0,0
Select,32,0,0,32,32,0,0,0,0,0,0
From Clause,25,0,0,25,25,0,0,0,0,0,0
Delete,2,0,0,2,2,0,0,0,0,0,0
Fallback Option,2041,0,0,2041,2041,0,0,0,0,0,0
Table Journal Option,2039,0,0,2039,2039,0,0,0,0,0,0
Table After Journal Option,2039,0,0,2039,2039,0,0,0,0,0,0
Exact Numeric Type,13214,0,0,13214,13214,0,0,0,0,0,0
Procedures,3,0,0,3,18,0,0,0,0,0,0
If Statement,1,0,0,1,5,0,0,0,0,0,0
Function Expr,3,1,0,4,11,2,0,0,0,0,0
Assignment Stat,2,0,0,2,2,0,0,0,0,0,0
Checksum Option,2040,0,0,2040,2040,0,0,0,0,0,0
Table Merge Block Ratio Option,2039,0,0,2039,2039,0,0,0,0,0,0
Character Set Phrase,25825,0,0,25825,25825,0,0,0,0,0,0
Create Join Index,1,0,0,1,3,0,0,0,0,0,0
Default Clause,170,0,0,170,172,0,0,0,0,0,0
Format Data Type Attribute,2354,1,0,2355,2354,1,0,0,0,0,0
Var Basic Type,27,0,0,27,27,0,0,0,0,0,0
Inserts,1,0,0,1,2,0,0,0,0,0,0
Generated As Identity,457,0,0,457,2742,0,0,0,0,0,0
Macros,1,0,0,1,13,0,0,0,0,0,0
Specific Language,0,2,0,2,0,2,0,0,0,0,0
Functions,2,0,0,2,24,0,0,0,0,0,0
Replace View Start,3,0,0,3,3,0,0,0,0,0,0
Single Name Expr,0,3,0,3,0,0,0,0,0,3,0
Views,3,0,0,3,28,0,0,0,0,0,0
Where Clause,1,0,0,1,1,0,0,0,0,0,0
Case Specific Column Constraint,17,0,0,17,17,0,0,0,0,0,0
Primary Key,59,0,0,59,59,0,0,0,0,0,0
Number Type,481,0,0,481,481,0,0,0,0,0,0
Compress Column Constraint,99,0,0,99,99,0,0,0,0,0,0
Partition By,36,0,0,36,66,0,0,0,0,0,0
Unique Index,0,3,0,3,0,6,0,0,0,0,0
